"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Abakar Sylla","Strasbourg","CIV","DF",NA,20,2002,22,1792,81,58.6,19,88,16,3,42,1.18,24,32,17308,9e+05
"Abdoul Kader Bamba","Nantes","FRA","FW","MF",29,1994,23,611,27,20,1,59,0,22,25,0.7,8,17,6154,320000
"Abdoulaye Touré","Le Havre","GUI","MF",NA,29,1994,30,2284,76,74.6,27,83,15,3,12,0.9,19,34,21154,1100000
"Abdukodir Khusanov","Lens","UZB","DF",NA,19,2004,11,809,74,26.4,9,84,6,2,25,1.45,12,10,2692,140000
"Ablie Jallow","Metz","GAM","MF","FW",24,1998,17,918,54,30,10,75,1,7,24,0.53,13,20,6923,360000
"Achraf Dari","Brest","MAR","DF","FW",24,1999,4,121,30,4,1,90,1,3,10,1,0,2,9231,480000
"Achraf Hakimi","Paris S-G","MAR","DF",NA,24,1998,25,1932,77,63.1,20,88,17,5,33,2.04,52,24,279808,14550000
"Adam Ounas","Lille","ALG","FW",NA,26,1996,17,418,25,13.7,3,73,1,14,14,1.76,10,6,52500,2730000
"Adrien Thomasson","Lens","FRA","MF",NA,29,1993,29,1193,41,39,13,71,1,16,17,1.45,14,15,20769,1080000
"Adrien Truffert","Rennes","FRA","DF",NA,21,2001,30,2145,72,70.1,24,84,17,6,23,1.33,34,29,19231,1e+06
"Adson","Nantes","BRA","MF","FW",22,2000,8,238,30,7.8,2,61,0,6,20,1,2,6,17308,9e+05
"Ainsley Maitland-Niles","Lyon","ENG","DF","MF",25,1997,23,1432,62,46.8,16,80,9,7,21,1.78,28,32,42308,2200000
"Akor Adams","Montpellier","NGA","FW",NA,23,2000,32,2252,70,73.6,27,80,10,5,21,1.22,29,32,11538,6e+05
"Alan Virginius","Lille","FRA","FW",NA,20,2003,2,71,36,2.3,1,66,0,1,5,2,0,1,5192,270000
