"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Abakar Sylla","Strasbourg","CIV","DF",NA,20,8,72,2,1111,1266,87.8,436,473,92.2,81,139,58.3,567,618,91.7,5,4,0,1186,79,30,0,7,3,17,0,1,1490,13,9,69.2,4,30.8
"Abdoul Kader Bamba","Nantes","FRA","FW","MF",29,41,31,73,267,336,79.5,127,151,84.1,22,36,61.1,103,128,80.5,11,10,2,307,26,11,3,1,26,6,9,3,423,31,10,32.3,14,45.2
"Abdoul Koné","Reims","FRA","DF",NA,18,3,5,1,53,85,62.4,19,24,79.2,8,17,47.1,26,42,61.9,2,1,0,65,20,3,0,1,1,17,0,0,115,3,2,66.7,1,33.3
"Abdoulaye Touré","Le Havre","GUI","MF",NA,29,22,148,25,1031,1238,83.3,413,483,85.5,92,122,75.4,475,546,87,12,7,0,1219,14,9,1,6,4,3,0,5,1504,42,29,69,12,28.6
"Abdukodir Khusanov","Lens","UZB","DF",NA,19,5,23,1,383,439,87.2,140,152,92.1,36,59,61,203,219,92.7,1,1,0,426,13,8,0,2,2,0,0,0,535,2,1,50,1,50
"Ablie Jallow","Metz","GAM","MF","FW",24,29,42,53,248,318,78,112,138,81.2,30,46,65.2,97,120,80.8,12,10,0,295,21,6,2,8,23,2,12,2,419,38,16,42.1,21,55.3
"Abou Lô","Metz","SEN","MF","DF",23,0,4,2,65,74,87.8,20,21,95.2,6,9,66.7,39,42,92.9,2,1,0,73,1,1,0,0,0,0,0,0,99,3,2,66.7,1,33.3
"Achraf Hakimi","Paris S-G","MAR","DF",NA,24,84,218,230,1712,1979,86.5,948,1030,92,77,125,61.6,613,696,88.1,43,45,13,1773,203,29,4,6,79,160,14,3,2217,57,27,47.4,30,52.6
"Adam Ounas","Lille","ALG","FW",NA,26,20,20,40,138,194,71.1,70,84,83.3,16,29,55.2,47,64,73.4,13,11,5,181,12,2,2,1,22,2,8,1,253,25,16,64,6,24
"Adama Bojang","Reims","GAM","FW",NA,19,2,1,8,17,27,63,14,19,73.7,1,1,100,1,2,50,1,0,0,23,4,0,0,0,1,0,0,0,42,1,1,100,0,0
"Adrien Lebeau","Brest","FRA","MF","FW",24,1,0,5,19,29,65.5,10,13,76.9,1,4,25,7,8,87.5,4,0,0,26,3,0,0,0,3,0,3,0,42,1,0,0,1,100
"Adrien Thomasson","Lens","FRA","MF",NA,29,20,68,121,506,679,74.5,261,319,81.8,27,52,51.9,192,248,77.4,30,15,3,638,38,18,1,1,47,2,18,3,822,14,9,64.3,5,35.7
"Adrien Truffert","Rennes","FRA","DF",NA,21,51,98,181,1047,1333,78.5,557,641,86.9,43,85,50.6,420,537,78.2,19,22,10,1081,247,21,0,1,72,225,1,5,1586,56,24,42.9,28,50
"Adson","Nantes","BRA","MF","FW",22,18,15,19,115,130,88.5,61,64,95.3,8,10,80,40,46,87,3,4,0,128,2,0,0,0,2,2,0,0,163,8,5,62.5,3,37.5
"Aïman Maurer","Clermont Foot","MAR","MF","FW",18,1,2,8,21,29,72.4,14,17,82.4,0,1,0,7,11,63.6,0,0,0,25,4,0,0,0,4,1,3,0,38,3,2,66.7,1,33.3
"Ainsley Maitland-Niles","Lyon","ENG","DF","MF",25,26,76,82,663,796,83.3,350,387,90.4,44,71,62,241,285,84.6,18,17,3,694,98,9,1,5,21,86,3,4,949,33,16,48.5,14,42.4
"Akor Adams","Montpellier","NGA","FW",NA,23,40,17,127,250,385,64.9,125,185,67.6,14,29,48.3,89,126,70.6,17,4,2,375,10,0,2,1,12,1,0,0,638,44,14,31.8,26,59.1
"Alan Virginius","Clermont Foot","FRA","FW",NA,20,22,21,64,136,209,65.1,71,92,77.2,6,14,42.9,46,74,62.2,11,5,2,17,0,0,0,0,1,0,0,0,300,20,10,50,10,50
"Alan Virginius","Clermont Foot","FRA","FW",NA,20,22,21,64,136,209,65.1,71,92,77.2,6,14,42.9,46,74,62.2,11,5,2,17,0,0,0,0,1,0,0,0,21,4,2,50,2,50
"Alan Virginius","Lille","FRA","FW",NA,20,1,2,4,136,209,65.1,71,92,77.2,6,14,42.9,46,74,62.2,11,5,2,182,25,1,2,0,22,0,15,2,300,20,10,50,10,50
"Alan Virginius","Lille","FRA","FW",NA,20,1,2,4,136,209,65.1,71,92,77.2,6,14,42.9,46,74,62.2,11,5,2,182,25,1,2,0,22,0,15,2,21,4,2,50,2,50
"Alan Virginius","Lille","FRA","FW",NA,20,1,2,4,136,209,65.1,71,92,77.2,6,14,42.9,46,74,62.2,11,5,2,17,0,0,0,0,1,0,0,0,300,20,10,50,10,50
"Alan Virginius","Lille","FRA","FW",NA,20,1,2,4,136,209,65.1,71,92,77.2,6,14,42.9,46,74,62.2,11,5,2,17,0,0,0,0,1,0,0,0,21,4,2,50,2,50
"Alan Virginius","Clermont Foot","FRA","FW",NA,20,22,21,64,136,209,65.1,71,92,77.2,6,14,42.9,46,74,62.2,11,5,2,182,25,1,2,0,22,0,15,2,300,20,10,50,10,50
"Alan Virginius","Clermont Foot","FRA","FW",NA,20,22,21,64,136,209,65.1,71,92,77.2,6,14,42.9,46,74,62.2,11,5,2,182,25,1,2,0,22,0,15,2,21,4,2,50,2,50
"Alban Lafont","Nantes","FRA","GK",NA,24,0,3,0,720,1006,71.6,143,144,99.3,214,493,43.4,359,364,98.6,0,0,0,770,235,69,0,3,0,0,0,1,1081,1,0,0,0,0
"Aleksandr Golovin","Monaco","RUS","MF","FW",27,50,172,157,935,1236,75.6,440,521,84.5,124,211,58.8,325,413,78.7,50,62,5,1096,129,34,14,11,110,13,82,11,1473,44,24,54.5,17,38.6
"Alexandre Lacazette","Lyon","FRA","FW",NA,32,22,61,144,397,561,70.8,211,283,74.6,29,46,63,113,156,72.4,21,17,2,514,42,1,8,6,10,2,0,5,809,42,22,52.4,17,40.5
