"Player","Squad","Nation","Pos","Pos2","Age","Wins","Draws","Losses","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Alaa Bellaarouch","Strasbourg","MAR","GK",NA,21,4,2,9,26,37,63.5,2,13.3,1,25
"Marco Bizot","Brest","NED","GK",NA,32,15,10,7,34,94,75.2,13,40.6,1,33.3
"Marcin Bułka","Nice","POL","GK",NA,23,15,10,9,29,74,77.1,17,50,3,37.5
"Lucas Chevalier","Lille","FRA","GK",NA,21,16,10,7,32,91,76.4,15,45.5,2,40
"Rémy Descamps","Nantes","FRA","GK",NA,27,2,2,2,11,26,73,1,16.7,0,0
"Arthur Desmas","Le Havre","FRA","GK",NA,29,7,11,15,43,111,72.5,7,21.2,1,50
"Mory Diaw","Clermont Foot","SEN","GK",NA,30,4,8,18,54,134,74.5,5,16.7,1,14.3
"Yehvann Diouf","Reims","FRA","GK",NA,23,13,8,13,47,90,70.1,8,23.5,1,14.3
"Gianluigi Donnarumma","Paris S-G","ITA","GK",NA,24,18,6,1,20,89,84.5,10,40,1,25
"Mathieu Gorgelin","Le Havre","FRA","GK",NA,32,0,0,1,2,3,80,0,0,0,0
"Philipp Köhn","Monaco","SUI","GK",NA,25,11,5,6,32,65,72.2,5,22.7,1,16.7
"Alban Lafont","Nantes","FRA","GK",NA,24,7,4,17,43,75,70.3,7,25,0,0
"Benjamin Lecomte","Montpellier","FRA","GK",NA,32,9,11,10,37,102,75.9,10,33.3,1,20
"Anthony Lopes","Lyon","POR","GK",NA,32,16,4,11,49,106,71,9,29,1,20
"Pau López","Marseille","ESP","GK",NA,28,13,11,9,39,86,71,7,21.2,0,0
"Steve Mandanda","Rennes","FRA","GK",NA,38,12,10,12,46,104,70.7,7,20.6,0,0
"Yvon Mvogo","Lorient","SUI","GK",NA,29,7,8,19,66,142,72,4,11.8,0,0
"Keylor Navas","Paris S-G","CRC","GK",NA,36,2,2,0,6,6,58.3,1,25,0,0
"Massamba Ndiaye","Clermont Foot","SEN","GK",NA,21,1,2,1,6,18,79.2,0,0,0,0
"Alexandre Oukidja","Metz","ALG","GK",NA,35,8,5,21,57,128,72.4,6,17.6,0,0
"Guillaume Restes","Toulouse","FRA","GK",NA,18,11,10,13,46,93,69.8,6,17.6,0,0
"Brice Samba","Lens","FRA","GK",NA,29,14,8,11,35,101,78.7,14,42.4,1,14.3
"Matz Sels","Strasbourg","BEL","GK",NA,31,6,7,6,24,40,62.9,3,15.8,0,0
