"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Aaron Malouda","Lille","FRA","FW",NA,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Abakar Sylla","Strasbourg","CIV","DF",NA,20,0,2,0,0,11,5,45.5,0.18,0.4,14.6,0,14,12,2,1,0,1
"Abdellah Baallal","Clermont Foot","MAR","MF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Abdoul Kader Bamba","Nantes","FRA","FW","MF",29,1,3,0,0,14,5,35.7,0.14,0.4,16.1,1,36,22,14,3,2,1
"Abdoul Koné","Reims","FRA","DF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,1
"Abdoulaye Touré","Le Havre","GUI","MF",NA,29,0,2,2,2,31,8,25.8,0,0,27.4,0,44,37,7,1,1,0
"Abdukodir Khusanov","Lens","UZB","DF",NA,19,0,0,0,0,5,2,40,0,0,18.8,0,6,3,3,0,0,0
"Ablie Jallow","Metz","GAM","MF","FW",24,2,5,1,1,17,6,35.3,0.12,0.33,21.7,1,30,19,11,7,6,1
"Abou Lô","Metz","SEN","MF","DF",23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Aboubacar Ali","Strasbourg","FRA","MF","FW",17,1,1,0,0,4,2,50,0,0,19.4,0,1,1,0,1,1,0
"Achraf Dari","Brest","MAR","DF","FW",24,0,0,0,0,1,1,100,0,0,14.4,0,1,1,0,0,0,0
"Achraf Hakimi","Paris S-G","MAR","DF",NA,24,5,9,0,0,42,12,28.6,0.1,0.33,19.8,9,93,79,14,14,13,1
"Adam Ounas","Lille","ALG","FW",NA,26,0,1,0,0,9,3,33.3,0.11,0.33,18.6,1,28,17,11,1,0,1
"Adama Bojang","Reims","GAM","FW",NA,19,0,0,0,0,4,1,25,0,0,16.9,0,2,1,1,0,0,0
"Adel Mahamoud","Nantes","COM","FW",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Adrian Grbić","Lorient","AUT","FW",NA,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Adrien Lebeau","Brest","FRA","MF","FW",24,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,1,0
"Adrien Thomasson","Lens","FRA","MF",NA,29,2,3,0,0,31,6,19.4,0.03,0.17,14.3,0,75,59,16,3,1,2
"Adrien Truffert","Rennes","FRA","DF",NA,21,2,3,0,0,20,7,35,0.05,0.14,20.7,0,38,27,11,3,1,2
"Adryelson","Lyon","BRA","DF","FW",25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Adson","Nantes","BRA","MF","FW",22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,9,8,1,0,0,0
"Aïman Maurer","Clermont Foot","MAR","MF","FW",18,0,0,0,0,3,1,33.3,0,0,18.5,0,1,1,0,0,0,0
"Ainsley Maitland-Niles","Lyon","ENG","DF","MF",25,4,5,1,1,17,5,29.4,0,0,13.9,0,33,27,6,7,7,0
"Akor Adams","Montpellier","NGA","FW",NA,23,1,9,0,0,79,32,40.5,0.1,0.25,14.5,0,43,29,14,3,0,3
"Alaa Bellaarouch","Strasbourg","MAR","GK",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Alan Virginius","Lille","FRA","FW",NA,20,0,0,0,0,10,6,60,0,0,15,0,21,15,6,3,2,1
"Alan Virginius","Lille","FRA","FW",NA,20,0,0,0,0,10,6,60,0,0,15,0,2,1,1,0,0,0
"Alan Virginius","Clermont Foot","FRA","FW",NA,20,2,2,0,0,10,6,60,0,0,15,0,21,15,6,3,2,1
"Alan Virginius","Clermont Foot","FRA","FW",NA,20,2,2,0,0,10,6,60,0,0,15,0,2,1,1,0,0,0
"Alban Lafont","Nantes","FRA","GK",NA,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,5,1,0,0,0
"Aleksandr Golovin","Monaco","RUS","MF","FW",27,6,12,0,0,44,19,43.2,0.14,0.32,21.5,6,102,62,40,7,6,1
"Alexandre Lacazette","Lyon","FRA","FW",NA,32,2,21,2,2,60,33,55,0.28,0.52,14,6,56,39,17,9,4,5
"Alexandre Oukidja","Metz","ALG","GK",NA,35,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,0,0
"Alexis Claude-Maurice","Nice","FRA","MF",NA,25,0,0,0,0,18,6,33.3,0,0,25.1,1,14,9,5,0,0,0
"Alexsandro Ribeiro","Lille","BRA","DF",NA,23,0,0,0,0,17,2,11.8,0,0,10.9,0,11,10,1,1,0,1
"Alidu Seidu","Rennes","GHA","DF",NA,23,0,0,0,0,6,1,16.7,0,0,36.3,0,13,7,6,1,1,0
"Alidu Seidu","Rennes","GHA","DF",NA,23,0,0,0,0,6,1,16.7,0,0,36.3,0,8,7,1,0,0,0
"Alidu Seidu","Clermont Foot","GHA","DF",NA,23,1,1,0,0,6,1,16.7,0,0,36.3,0,13,7,6,1,1,0
"Alidu Seidu","Clermont Foot","GHA","DF",NA,23,1,1,0,0,6,1,16.7,0,0,36.3,0,8,7,1,0,0,0
"Aliou Baldé","Nice","GUI","FW","DF",20,0,0,0,0,3,2,66.7,0,0,19.3,0,5,2,3,0,0,0
"Alois Confais","Le Havre","FRA","MF","FW",26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Amadou Koné","Reims","MLI","MF",NA,18,0,0,0,0,6,1,16.7,0,0,27.3,0,6,6,0,0,0,0
"Amin Sarr","Lyon","SWE","FW","MF",22,0,0,0,0,5,2,40,0,0,13.5,0,3,1,2,0,0,0
"Amine Gouiri","Rennes","ALG","FW","MF",23,3,10,0,0,78,26,33.3,0.09,0.27,15.2,0,85,53,32,10,6,4
"Amine Harit","Marseille","MAR","MF","FW",26,2,3,0,0,33,8,24.2,0.03,0.13,17.7,1,90,66,24,7,7,0
"Amine Salama","Reims","FRA","FW",NA,23,0,0,0,0,6,1,16.7,0,0,13.8,0,8,7,1,0,0,0
"Amir Richardson","Reims","MAR","MF",NA,21,1,4,0,0,17,8,47.1,0.18,0.38,18.8,0,29,24,5,1,1,0
"André Ayew","Le Havre","GHA","FW",NA,33,0,5,0,0,32,12,37.5,0.16,0.42,15.1,1,27,18,9,1,1,0
"Andrej Ilic","Lille","SRB","FW",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andrey Santos","Strasbourg","BRA","MF",NA,19,0,1,0,0,12,4,33.3,0.08,0.25,22.1,0,19,14,5,0,0,0
