"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Aaron Connolly","Brighton","IRL","FW",NA,19,2000,24,1258,52,36.8,14,72,0,10,26,1.13,17,22,7500,390000
"Aaron Lennon","Burnley","ENG","MF",NA,32,1987,16,496,31,14.5,4,82,3,12,14,1.31,3,15,35000,1820000
"Aaron Mooy","Brighton","AUS","MF","FW",28,1990,31,2085,67,61,25,80,14,6,16,1.03,19,31,32500,1690000
"Aaron Wan-Bissaka","Manchester Utd","ENG","DF",NA,21,1997,35,3070,88,89.8,34,89,32,1,45,1.77,63,33,90000,4680000
"Abdoulaye Doucouré","Watford","MLI","MF",NA,26,1993,37,3156,85,92.3,36,86,25,1,45,0.89,33,61,70000,3640000
"Adam Lallana","Liverpool","ENG","MF","FW",31,1988,15,382,25,11.2,3,73,0,12,14,2.67,9,5,110000,5720000
"Adam Masina","Watford","MAR","DF",NA,25,1994,26,1821,70,53.2,20,86,16,6,17,1,18,31,28077,1460000
"Adama Traoré","Wolves","ESP","FW","DF",23,1996,37,2605,70,76.2,27,86,18,10,29,1.57,44,33,43077,2240000
"Adrián","Liverpool","ESP","GK",NA,32,1987,11,875,80,25.6,9,90,9,2,33,3,24,10,55000,2860000
"Adrian Mariappa","Watford","JAM","DF",NA,32,1986,20,1513,76,44.2,15,88,14,5,39,0.8,16,33,15000,780000
"Ahmed Elmohamady","Aston Villa","EGY","DF",NA,31,1987,18,1031,57,30.1,11,81,9,7,19,0.89,11,28,25000,1300000
"Ainsley Maitland-Niles","Arsenal","ENG","DF",NA,21,1997,20,1386,69,40.5,15,87,14,5,17,1.7,22,21,35000,1820000
"Alex Iwobi","Everton","NGA","MF","FW",23,1996,25,1596,64,46.7,19,72,6,6,37,1.08,23,30,50000,2600000
"Alex Oxlade-Chamberlain","Liverpool","ENG","MF","FW",25,1993,30,1485,50,43.4,17,70,0,13,23,2.5,35,12,120000,6240000
"Alexander Tettey","Norwich City","NOR","MF","DF",33,1986,30,2338,78,68.4,28,82,13,2,25,0.67,17,44,13077,680000
"Alexandre Lacazette","Arsenal","FRA","FW",NA,28,1991,30,1874,62,54.8,22,79,9,8,16,1.3,36,25,182115,9470000
"Alexis Mac Allister","Brighton","ARG","MF","FW",20,1998,9,352,39,10.3,4,70,0,5,14,1.44,4,6,10000,520000
"Alireza Jahanbakhsh","Brighton","IRN","FW","MF",25,1993,10,311,31,9.1,3,68,0,7,15,1,4,4,50000,2600000
"Allan Saint-Maximin","Newcastle Utd","FRA","MF","FW",22,1997,26,1863,72,54.5,23,79,9,3,18,1.46,26,22,60000,3120000
"André Gomes","Everton","POR","MF",NA,26,1993,19,1458,77,42.6,17,83,13,2,20,1.26,15,20,112308,5840000
"Andre Gray","Watford","JAM","FW",NA,28,1991,23,755,33,22.1,7,72,2,16,16,0.65,6,17,70000,3640000
"Andreas Pereira","Manchester Utd","BRA","MF","FW",23,1996,25,1484,59,43.4,18,76,5,7,16,1.72,24,16,30000,1560000
"Andrew Robertson","Liverpool","SCO","DF",NA,25,1994,36,3111,86,91,34,89,30,2,39,2.64,80,31,50000,2600000
"Andrew Surman","Bournemouth","ENG","MF",NA,32,1986,5,235,47,6.9,2,89,1,3,19,1.2,2,6,35000,1820000
"Andriy Yarmolenko","West Ham","UKR","MF","FW",29,1989,23,991,43,29,10,69,2,13,23,1.35,11,17,40000,2080000
"Andros Townsend","Crystal Palace","ENG","FW","MF",28,1991,24,1294,54,37.8,14,81,8,10,16,1.04,8,23,55000,2860000
"Andy Carroll","Newcastle Utd","ENG","FW",NA,30,1989,19,632,33,18.5,4,85,3,15,19,1.53,9,10,20000,1040000
"Angeliño","Manchester City","ESP","DF",NA,22,1997,6,423,71,12.4,4,90,4,2,32,2,11,7,60000,3120000
"Anthony Martial","Manchester Utd","FRA","FW",NA,23,1995,32,2624,82,76.7,31,84,14,1,7,1.81,56,27,250000,1.3e+07
"Antonio Rüdiger","Chelsea","GER","DF",NA,26,1993,20,1710,86,50,19,88,18,1,45,1.65,33,24,1e+05,5200000
"Anwar El Ghazi","Aston Villa","NED","FW","MF",24,1995,34,2051,60,60,26,74,9,8,17,0.85,26,48,30962,1610000
"Arnaut Danjuma","Bournemouth","NED","MF",NA,22,1997,14,630,45,18.4,6,68,2,8,28,0.43,4,12,35000,1820000
"Arthur Masuaku","West Ham","COD","DF",NA,25,1993,17,937,55,27.4,10,81,7,7,18,1.18,7,18,40000,2080000
"Ashley Barnes","Burnley","ENG","FW",NA,29,1989,19,1352,71,39.5,17,77,5,2,25,1.26,19,21,40000,2080000
"Ashley Young","Manchester Utd","ENG","DF",NA,34,1985,12,955,80,27.9,10,90,9,2,30,1.5,12,10,120000,6240000
"Axel Tuanzebe","Manchester Utd","COD","DF",NA,21,1997,5,189,38,5.5,2,90,2,3,3,1.6,1,3,35000,1820000
"Aymeric Laporte","Manchester City","ESP","DF",NA,25,1994,15,1097,73,32.1,14,76,6,1,30,2.47,36,5,120000,6240000
"Ayoze Pérez","Leicester City","ESP","MF","FW",26,1993,33,2004,61,58.6,26,72,4,7,19,1.55,36,25,45000,2340000
"Ben Davies","Tottenham","WAL","DF",NA,26,1993,18,1431,80,41.8,16,88,13,2,9,1.61,24,19,60000,3120000
"Ben Osborn","Sheffield Utd","ENG","MF","DF",24,1994,13,594,46,17.4,6,77,4,7,19,2.08,9,4,4038,210000
"Benjamin Mendy","Manchester City","FRA","DF",NA,25,1994,19,1492,79,43.6,18,82,12,1,14,2.32,49,13,1e+05,5200000
"Bernard","Everton","BRA","MF","FW",26,1992,27,1280,47,37.4,15,68,3,12,22,1.3,14,12,120000,6240000
"Bernardo","Brighton","BRA","DF","MF",24,1995,14,679,49,19.9,7,80,4,7,17,1,6,17,25000,1300000
"Bernardo Silva","Manchester City","POR","FW","MF",24,1994,34,2030,60,59.4,23,80,13,11,18,2.03,57,24,150000,7800000
"Billy Sharp","Sheffield Utd","ENG","FW",NA,33,1986,25,1051,42,30.7,10,68,0,15,25,1.16,11,10,11923,620000
"Björn Engels","Aston Villa","BEL","DF",NA,24,1994,17,1447,85,42.3,15,89,14,2,57,0.65,20,32,35000,1820000
"Brandon Williams","Manchester Utd","ENG","DF",NA,18,2000,17,1006,59,29.4,11,84,6,6,14,1.76,20,10,65000,3380000
"Bukayo Saka","Arsenal","ENG","DF","FW",17,2001,26,1753,67,51.3,19,80,10,7,33,1.42,22,18,10000,520000
"Callum Hudson-Odoi","Chelsea","ENG","FW","MF",18,2000,22,863,39,25.2,7,85,4,15,18,1.77,17,14,180000,9360000
"Callum Robinson","Sheffield Utd","IRL","FW","MF",24,1995,16,676,42,19.8,9,65,2,7,12,1.06,7,6,5000,260000
"Callum Wilson","Bournemouth","ENG","FW",NA,27,1992,35,2908,83,85,32,88,27,3,32,0.89,36,53,40000,2080000
"Calum Chambers","Arsenal","ENG","DF",NA,24,1995,14,1102,79,32.2,13,81,11,1,45,1.29,16,15,50000,2600000
"Carlos Sánchez","West Ham","COL","MF",NA,33,1986,6,117,20,3.4,1,61,0,5,11,1.67,3,2,50000,2600000
"Cédric Soares","Arsenal","POR","MF","DF",27,1991,5,249,50,7.3,3,76,0,2,11,1.8,4,2,75000,3900000
"Cenk Tosun","Everton","TUR","FW",NA,28,1991,5,291,58,8.5,2,82,1,3,43,1,2,4,60000,3120000
"Cenk Tosun","Crystal Palace","TUR","FW",NA,28,1991,5,177,35,5.2,2,74,0,3,10,1.6,1,2,60000,3120000
"Charlie Taylor","Burnley","ENG","DF",NA,25,1993,24,1945,81,56.9,22,85,20,2,41,1.63,24,18,25000,1300000
"Che Adams","Southampton","SCO","FW",NA,23,1996,30,1111,37,32.5,12,73,0,18,13,1.47,17,17,40000,2080000
"Cheikhou Kouyaté","Crystal Palace","SEN","MF","DF",29,1989,35,2528,72,73.9,29,81,14,6,28,1.2,24,36,65000,3380000
"Chris Mepham","Bournemouth","WAL","DF",NA,21,1997,12,912,76,26.7,10,90,10,2,6,0.67,6,19,11731,610000
"Chris Wood","Burnley","NZL","FW",NA,27,1991,32,2437,76,71.3,29,81,17,3,29,1.41,27,33,50000,2600000
"Christian Atsu","Newcastle Utd","GHA","MF","FW",27,1992,19,749,39,21.9,6,82,3,13,20,1.11,4,15,30000,1560000
"Christian Benteke","Crystal Palace","BEL","FW",NA,28,1990,24,1261,53,36.9,13,86,6,11,13,1.21,11,18,120000,6240000
"Christian Eriksen","Tottenham","DEN","MF","FW",27,1992,20,1097,55,32.1,10,87,6,10,22,1.3,20,18,75000,3900000
"Christian Fuchs","Leicester City","AUT","DF",NA,33,1986,11,772,70,22.6,8,90,7,3,18,1.82,15,10,50000,2600000
"Christian Kabasele","Watford","BEL","DF",NA,28,1991,27,2250,83,65.8,26,87,23,1,1,1.11,29,35,30000,1560000
"Christian Pulisic","Chelsea","USA","FW",NA,20,1998,25,1722,69,50.4,19,82,8,6,27,1.68,38,28,150000,7800000
"Christoph Zimmermann","Norwich City","GER","DF",NA,26,1993,17,1430,84,41.8,16,87,15,1,45,0.65,13,27,15000,780000
"Claudio Bravo","Manchester City","CHI","GK",NA,36,1983,4,347,87,10.1,3,90,3,1,77,1.5,7,7,115000,5980000
"Conor Hourihane","Aston Villa","IRL","MF",NA,28,1991,27,1534,57,44.9,18,75,4,9,20,1.04,20,29,30000,1560000
"Craig Cathcart","Watford","NIR","DF",NA,30,1989,29,2488,86,72.7,28,87,26,1,45,0.9,25,37,23077,1200000
"Craig Dawson","Watford","ENG","DF",NA,29,1990,29,2361,81,69,26,88,25,3,22,0.9,25,49,40000,2080000
"Dale Stephens","Brighton","ENG","MF",NA,30,1989,33,2530,77,74,28,88,24,5,11,1.12,31,42,30000,1560000
"Dale Stephens","Brighton","ENG","MF",NA,30,1989,33,2530,77,74,28,88,24,5,11,1.12,31,42,30000,1560000
"Dan Burn","Brighton","ENG","DF",NA,27,1992,34,2880,85,84.2,33,87,31,1,13,1.15,32,42,15962,830000
"Dan Gosling","Bournemouth","ENG","MF",NA,29,1990,24,1264,53,37,14,78,7,10,17,0.75,10,23,35000,1820000
"Dani Ceballos","Arsenal","ESP","MF",NA,22,1996,24,1692,71,49.5,18,80,6,6,42,1.75,29,21,51923,2700000
"Daniel James","Manchester Utd","WAL","FW",NA,21,1997,33,2287,69,66.9,26,84,15,7,15,1.67,33,29,50000,2600000
"Daniel Podence","Wolves","POR","FW","MF",23,1995,9,289,32,8.5,3,70,0,6,13,1.78,4,0,60000,3120000
"Danny Ings","Southampton","ENG","FW",NA,27,1992,38,2804,74,82,32,83,15,6,23,1.37,42,44,75000,3900000
"Danny Rose","Newcastle Utd","ENG","DF",NA,29,1990,11,863,78,25.2,10,85,7,1,12,0.91,7,14,60000,3120000
"Danny Rose","Tottenham","ENG","DF",NA,29,1990,12,893,74,26.1,10,86,7,2,17,1.25,16,14,60000,3120000
"Danny Welbeck","Watford","ENG","FW","MF",28,1990,18,822,46,24,8,77,4,10,21,0.56,9,15,60000,3120000
"Daryl Janmaat","Watford","NED","DF",NA,30,1989,8,607,76,17.7,7,85,5,1,13,1,5,5,45000,2340000
"David Brooks","Bournemouth","WAL","MF","FW",22,1997,9,506,56,14.8,8,61,0,1,22,0.78,6,12,20000,1040000
"David Luiz","Arsenal","BRA","DF",NA,32,1987,33,2809,85,82.1,32,87,30,1,25,1.42,47,38,125769,6540000
"David Martin","West Ham","ENG","GK",NA,33,1986,5,436,87,12.7,4,90,4,1,76,1.2,3,6,8077,420000
"David McGoldrick","Sheffield Utd","IRL","FW",NA,31,1987,28,1815,65,53.1,22,76,6,6,23,1.43,23,18,6923,360000
"David Silva","Manchester City","ESP","MF",NA,33,1986,27,1826,68,53.4,22,79,10,5,18,2.22,59,15,160000,8320000
"Davinson Sánchez","Tottenham","COL","DF",NA,23,1996,29,2431,84,71.1,27,88,26,2,23,1.55,49,37,65000,3380000
"Davy Pröpper","Brighton","NED","MF",NA,27,1991,35,2829,81,82.7,32,86,28,3,23,1.09,33,46,45000,2340000
"DeAndre Yedlin","Newcastle Utd","USA","DF",NA,26,1993,16,938,59,27.4,10,83,8,6,19,1.25,9,18,30000,1560000
"Dejan Lovren","Liverpool","CRO","DF",NA,30,1989,10,777,78,22.7,9,84,8,1,18,2.5,19,11,1e+05,5200000
"Dele Alli","Tottenham","ENG","MF","FW",23,1996,25,1847,74,54,21,84,12,4,19,1.4,32,25,1e+05,5200000
"Demarai Gray","Leicester City","JAM","MF","FW",23,1996,21,622,30,18.2,3,74,0,18,22,1.76,16,6,55000,2860000
"Dennis Praet","Leicester City","BEL","MF",NA,25,1994,27,1134,42,33.2,12,69,0,15,20,1.41,24,17,75000,3900000
"Dimitri Foulquier","Watford","FRA","DF","MF",26,1993,3,59,20,1.7,1,32,0,2,14,0.33,0,6,20000,1040000
"Diogo Dalot","Manchester Utd","POR","DF","MF",20,1999,4,67,17,2,1,59,0,3,3,1,0,1,25000,1300000
"Diogo Jota","Wolves","POR","FW",NA,22,1996,34,2284,67,66.8,27,78,6,7,26,1.44,26,28,55000,2860000
"Divock Origi","Liverpool","BEL","FW",NA,24,1995,28,717,26,21,7,61,0,21,14,2.54,23,12,45000,2340000
"Djibril Sidibé","Everton","FRA","DF","MF",27,1992,25,1824,73,53.3,18,85,15,7,41,1.32,27,30,9038,470000
"Dominic Calvert-Lewin","Everton","ENG","FW",NA,22,1997,36,2626,73,76.8,30,84,20,6,18,1.28,36,43,20000,1040000
"Dominic Solanke","Bournemouth","ENG","FW",NA,21,1997,32,1651,52,48.3,17,81,10,15,18,0.78,22,39,25000,1300000
"Douglas Luiz","Aston Villa","BRA","MF",NA,21,1998,36,2612,73,76.4,28,87,24,8,20,0.94,29,51,50000,2600000
"Dwight Gayle","Newcastle Utd","ENG","FW",NA,28,1990,20,850,43,24.9,10,68,2,10,17,0.8,14,15,30000,1560000
