"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Aaron Connolly","Brighton","IRL","FW",NA,19,1,4,0,0,38,13,34.2,0.08,0.23,16.2,0,27,10,17,5,1,4
"Aaron Cresswell","West Ham","ENG","DF",NA,29,0,3,0,0,17,5,29.4,0.18,0.6,21.7,7,51,37,14,1,1,0
"Aaron Lennon","Burnley","ENG","MF",NA,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,6,1,1,1,0
"Aaron Mooy","Brighton","AUS","MF","FW",28,2,4,0,0,33,8,24.2,0.06,0.25,20.9,0,78,56,22,7,4,3
"Aaron Ramsdale","Bournemouth","ENG","GK",NA,21,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,0
"Aaron Wan-Bissaka","Manchester Utd","ENG","DF",NA,21,4,4,0,0,7,1,14.3,0,0,15.5,0,51,45,6,8,7,1
"Abdoulaye Doucouré","Watford","MLI","MF",NA,26,2,6,0,0,61,12,19.7,0.07,0.33,18.3,0,95,69,26,8,6,2
"Adam Idah","Norwich City","IRL","FW","MF",18,0,0,0,0,6,2,33.3,0,0,17.5,0,2,1,1,0,0,0
"Adam Lallana","Liverpool","ENG","MF","FW",31,1,2,0,0,5,1,20,0.2,1,16.3,0,8,7,1,1,1,0
"Adam Masina","Watford","MAR","DF",NA,25,0,1,0,0,15,3,20,0.07,0.33,21.1,1,24,21,3,1,0,1
"Adam Smith","Bournemouth","ENG","DF",NA,28,1,1,0,0,4,1,25,0,0,19.5,0,31,28,3,1,1,0
"Adam Webster","Brighton","ENG","DF",NA,24,1,4,0,0,16,7,43.8,0.19,0.43,13.6,0,30,23,7,1,1,0
"Adama Traoré","Wolves","ESP","FW","DF",23,9,13,0,0,43,12,27.9,0.09,0.33,19.8,0,111,67,44,15,11,4
"Adrián","Liverpool","ESP","GK",NA,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Adrian Mariappa","Watford","JAM","DF",NA,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,12,10,2,1,1,0
"Ahmed Elmohamady","Aston Villa","EGY","DF",NA,31,1,2,0,0,5,1,20,0.2,1,11.1,0,36,33,3,1,1,0
"Ainsley Maitland-Niles","Arsenal","ENG","DF",NA,21,2,2,0,0,4,1,25,0,0,18,0,21,17,4,3,2,1
"Akin Famewo","Norwich City","ENG","MF",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Albian Ajeti","West Ham","SUI","FW",NA,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Alex Iwobi","Everton","NGA","MF","FW",23,0,1,0,0,23,10,43.5,0.04,0.1,17.3,0,54,50,4,2,2,0
"Alex McCarthy","Southampton","ENG","GK",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,4,2,0,0,0
"Alex Oxlade-Chamberlain","Liverpool","ENG","MF","FW",25,1,5,0,0,40,10,25,0.1,0.4,22.5,0,51,38,13,6,3,3
"Alexander Tettey","Norwich City","NOR","MF","DF",33,1,2,0,0,23,3,13,0.04,0.33,24.7,0,24,20,4,1,1,0
"Alexandre Lacazette","Arsenal","FRA","FW",NA,28,4,14,0,0,52,26,50,0.19,0.38,12.6,3,68,43,25,12,4,8
