"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Patrick van Aanholt","Crystal Palace","NED","DF",NA,28,0,0,0,0,9
"Max Aarons","Norwich City","ENG","DF",NA,19,7,0,0,0,29
"Tammy Abraham","Chelsea","ENG","FW",NA,21,2,0,0,0,17
"Che Adams","Southampton","SCO","FW",NA,23,0,0,0,0,17
"Adrián","Liverpool","ESP","GK",NA,32,1,0,0,0,0
"Sergio Agüero","Manchester City","ARG","FW",NA,31,1,0,0,0,9
"Albian Ajeti","West Ham","SUI","FW",NA,22,0,0,0,0,6
"Nathan Aké","Bournemouth","NED","DF",NA,24,2,0,0,0,9
"Marc Albrighton","Leicester City","ENG","MF","DF",29,2,0,0,0,7
"Toby Alderweireld","Tottenham","BEL","DF",NA,30,7,0,0,0,18
"Trent Alexander-Arnold","Liverpool","ENG","DF",NA,20,5,0,0,0,22
"Alisson","Liverpool","BRA","GK",NA,26,0,1,0,1,1
"Dele Alli","Tottenham","ENG","MF","FW",23,2,0,0,0,12
"Miguel Almirón","Newcastle Utd","PAR","MF","FW",25,5,0,0,0,30
"Marcos Alonso","Chelsea","ESP","DF",NA,28,4,0,0,0,16
"Steven Alzate","Brighton","COL","MF","DF",20,1,0,0,0,17
"Ibrahim Amadou","Norwich City","FRA","DF","MF",26,1,0,0,0,8
"Felipe Anderson","West Ham","BRA","MF","FW",26,1,0,0,0,17
"Florin Andone","Brighton","ROU","FW",NA,26,0,1,0,1,2
"Angeliño","Manchester City","ESP","DF",NA,22,1,0,0,0,2
"Michail Antonio","West Ham","JAM","FW",NA,29,3,0,0,0,41
"Stuart Armstrong","Southampton","SCO","MF",NA,27,4,0,0,0,25
"Kepa Arrizabalaga","Chelsea","ESP","GK",NA,24,0,0,0,0,0
"Christian Atsu","Newcastle Utd","GHA","MF","FW",27,2,0,0,0,11
"Pierre-Emerick Aubameyang","Arsenal","GAB","FW",NA,30,3,1,0,1,14
"Serge Aurier","Tottenham","CIV","DF",NA,26,4,1,1,2,41
"Jordan Ayew","Crystal Palace","GHA","FW",NA,27,6,0,0,0,59
"César Azpilicueta","Chelsea","ESP","DF",NA,29,1,0,0,0,40
"Eric Bailly","Manchester Utd","CIV","DF",NA,25,0,0,0,0,2
"Leighton Baines","Everton","ENG","DF",NA,34,0,0,0,0,1
"Fabián Balbuena","West Ham","PAR","DF",NA,27,2,0,0,0,6
"George Baldock","Sheffield Utd","GRE","DF",NA,26,7,0,0,0,47
"Phil Bardsley","Burnley","SCO","DF",NA,34,6,0,0,0,35
"Ross Barkley","Chelsea","ENG","MF",NA,25,0,0,0,0,9
"Ashley Barnes","Burnley","ENG","FW",NA,29,4,0,0,0,35
"Harvey Barnes","Leicester City","ENG","MF","FW",21,0,0,0,0,20
"Chris Basham","Sheffield Utd","ENG","DF",NA,31,4,0,0,0,26
"Borja Bastón","Aston Villa","ESP","MF","FW",26,0,0,0,0,0
"Michy Batshuayi","Chelsea","BEL","FW",NA,25,0,0,0,0,4
"Jan Bednarek","Southampton","POL","DF",NA,23,4,0,0,0,33
"Héctor Bellerín","Arsenal","ESP","DF","MF",24,2,0,0,0,15
"Ryan Bennett","Wolves","ENG","DF",NA,29,2,0,0,0,4
"Ryan Bennett","Leicester City","ENG","DF",NA,29,0,0,0,0,3
"Nabil Bentaleb","Newcastle Utd","ALG","MF",NA,24,2,0,0,0,19
"Christian Benteke","Crystal Palace","BEL","FW",NA,28,4,1,0,1,25
"Jóhann Berg Guðmundsson","Burnley","ISL","MF",NA,28,0,0,0,0,9
"Sander Berge","Sheffield Utd","NOR","MF",NA,21,0,0,0,0,18
"Steven Bergwijn","Tottenham","NED","FW","MF",21,2,0,0,0,7
"Bernard","Everton","BRA","MF","FW",26,2,0,0,0,19
"Bernardo","Brighton","BRA","DF","MF",24,1,0,0,0,3
"Ryan Bertrand","Southampton","ENG","DF",NA,29,3,1,0,1,27
"Muhamed Bešić","Sheffield Utd","BIH","MF",NA,26,2,0,0,0,6
"Philip Billing","Bournemouth","DEN","MF",NA,23,8,0,0,0,38
"Yves Bissouma","Brighton","MLI","MF",NA,22,4,0,0,0,31
"Willy Boly","Wolves","CIV","DF",NA,28,3,1,1,2,24
"Gaëtan Bong","Brighton","CMR","DF","MF",31,0,0,0,0,0
"Sofiane Boufal","Southampton","MAR","MF","FW",25,2,0,0,0,25
"Jarrod Bowen","West Ham","ENG","FW","MF",22,0,0,0,0,4
"Robbie Brady","Burnley","IRL","MF",NA,27,1,0,0,0,8
"Jarrad Branthwaite","Everton","ENG","DF",NA,17,0,0,0,0,4
"Claudio Bravo","Manchester City","CHI","GK",NA,36,0,0,0,0,0
"Armando Broja","Chelsea","ALB","FW",NA,17,0,0,0,0,0
"David Brooks","Bournemouth","WAL","MF","FW",22,1,0,0,0,4
"Josh Brownhill","Burnley","ENG","MF",NA,23,2,0,0,0,6
"Emi Buendía","Norwich City","ARG","FW","MF",22,6,1,0,1,36
"Dan Burn","Brighton","ENG","DF",NA,27,5,0,0,0,32
"Sam Byram","Norwich City","ENG","DF",NA,25,4,0,0,0,16
"Willy Caballero","Chelsea","ARG","GK",NA,37,0,0,0,0,0
"Gary Cahill","Crystal Palace","ENG","DF",NA,33,1,0,0,0,14
"Dominic Calvert-Lewin","Everton","ENG","FW",NA,22,9,0,0,0,57
"João Cancelo","Manchester City","POR","DF",NA,25,4,0,0,0,17
"Todd Cantwell","Norwich City","ENG","FW","MF",21,6,0,0,0,33
"Étienne Capoue","Watford","FRA","MF",NA,31,8,0,0,0,57
"Andy Carroll","Newcastle Utd","ENG","FW",NA,30,1,0,0,0,17
"Jonny Castro","Wolves","ESP","MF","DF",25,4,0,0,0,34
"Craig Cathcart","Watford","NIR","DF",NA,30,7,0,0,0,13
"Dani Ceballos","Arsenal","ESP","MF",NA,22,1,0,0,0,19
"Nathaniel Chalobah","Watford","ENG","MF",NA,24,1,0,0,0,7
"Calum Chambers","Arsenal","ENG","DF",NA,24,5,0,0,0,18
"Ben Chilwell","Leicester City","ENG","DF",NA,22,3,0,0,0,29
"Tahith Chong","Manchester Utd","NED","FW","DF",19,0,0,0,0,2
"Hamza Choudhury","Leicester City","ENG","MF",NA,21,4,1,1,2,12
"Andreas Christensen","Chelsea","DEN","DF",NA,23,5,0,0,0,17
"Ciaran Clark","Newcastle Utd","IRL","DF",NA,29,3,0,0,0,9
"Leon Clarke","Sheffield Utd","ENG","FW","MF",34,0,0,0,0,0
"Tom Cleverley","Watford","ENG","MF",NA,29,2,0,0,0,16
"Conor Coady","Wolves","ENG","DF",NA,26,5,0,0,0,17
"Séamus Coleman","Everton","IRL","DF",NA,30,5,1,1,2,19
"Aaron Connolly","Brighton","IRL","FW",NA,19,0,0,0,0,16
"Lewis Cook","Bournemouth","ENG","MF","FW",22,5,0,0,0,23
"Steve Cook","Bournemouth","ENG","DF",NA,28,6,1,0,1,16
"Jack Cork","Burnley","ENG","MF",NA,30,1,0,0,0,33
"Aaron Cresswell","West Ham","ENG","DF",NA,29,7,0,0,0,16
"Patrick Cutrone","Wolves","ITA","FW",NA,21,0,0,0,0,5
"Diogo Dalot","Manchester Utd","POR","DF","MF",20,0,0,0,0,1
"Charlie Daniels","Bournemouth","ENG","DF",NA,32,0,0,0,0,0
"Arnaut Danjuma","Bournemouth","NED","MF",NA,22,0,0,0,0,0
"Scott Dann","Crystal Palace","ENG","DF",NA,32,0,0,0,0,5
"Kevin Danso","Southampton","AUT","DF",NA,20,2,1,1,2,4
"Ben Davies","Tottenham","WAL","DF",NA,26,6,0,0,0,27
"Tom Davies","Everton","ENG","MF",NA,21,8,0,0,0,30
"Keinan Davis","Aston Villa","ENG","FW",NA,21,0,0,0,0,12
"Craig Dawson","Watford","ENG","DF",NA,29,6,0,0,0,31
"Kevin De Bruyne","Manchester City","BEL","MF",NA,28,3,0,0,0,26
"Troy Deeney","Watford","ENG","FW",NA,31,3,0,0,0,37
"Fabian Delph","Everton","ENG","MF",NA,29,5,1,1,2,18
"Leander Dendoncker","Wolves","BEL","MF","DF",24,5,0,0,0,31
"Gerard Deulofeu","Watford","ESP","FW",NA,25,3,0,0,0,27
"Eric Dier","Tottenham","ENG","DF","MF",25,5,0,0,0,19
"Lucas Digne","Everton","FRA","DF",NA,26,6,0,0,0,43
"Issa Diop","West Ham","FRA","DF",NA,22,8,0,0,0,31
